id,rent_price,rent_price_by_area,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,district,neighborhood,avg_district_rent,median_district_rent,std_district_rent,overpriced,built_year,has_lift,has_ac,has_pool,has_parking,is_furnished
21537,798,,80.0,,3,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,1977.0,True,,,False,
21536,413,,60.0,50.0,2,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,1960.0,True,True,,False,
21535,777,,50.0,,1,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,2007.0,True,True,True,True,
21534,690,,136.0,76.0,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1967.0,False,,,False,
21533,948,,96.0,,2,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,2001.0,True,True,True,True,
21532,910,,71.0,60.0,2,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,2001.0,True,True,True,False,
21531,705,,74.0,,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,1966.0,False,,,False,
21530,583,,65.0,60.0,2,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,1962.0,False,,,False,
21529,780,,93.0,87.0,3,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,1976.0,True,True,,False,
21528,553,,75.0,70.0,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1968.0,False,,,False,
21527,539,,63.0,,3,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21526,494,,65.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21525,762,,115.0,92.0,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1975.0,,,,False,
21524,458,,63.0,60.0,2,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,,True,,,False,
